SN	Name of SIIC	State	City	District	Latitude	Longitude
1	SIIC Bengaluru	Karnataka	Bengaluru	Bengaluru	12.9628957	77.57754
2	SIIC Bhubaneswar	Odisha	Jatni	Khordha	20.1862584	85.6222742
3	SIIC Guwahati	Assam	Guwahati	Kamrup (Metro)	26.1157917	91.7085933
4	SIIC Hyderabad	Telangana	Hyderabad	Hyderabad	17.406498	78.4772439
5	SIIC Kanpur	Uttar Pradesh	Kanpur	Kanpur	26.5152447	80.2309999
6	SIIC Ludhiana	Punjab	Ludhiana	Ludhiana	30.900965	75.8572758
7	SIIC Varanasi	Uttar Pradesh	Varanasi	Varanasi	25.2710223	82.9824651
