Sr. No.	Name	Address	City	District	State	Latitude	Longitude
58	Gurdaspur	District Administrative Complex, Room No. 217, B Block	Gurdaspur	Gurdaspur	Punjab	32.0419862	75.4053471
59	SSR Global	SSR Global Skills Park Hazrat Nizamuddin Colony Road Narela Shankari	Bhopal	Bhopal	Madhya Pradesh	23.2574243	77.4640807
60	Lakhisarai	BSDC Suryagarha Block Campus, Suryagarha	Suryagarha	Lakhisarai	Bihar	25.2423227	86.2219168
61	Sheikhpura	BSDC, SHEIKHPURA Block Campus, Near Fire Station	Sheikhpura	Sheikhpura	Bihar	25.1208994	85.8392738
62	Nawada	District Employment Exchange Nawada, Government ITI Campus, Gonawa	Nawada	Nawada	Bihar	24.9062633	85.5483427
63	Jehanabad	Joint Labour Building, District Employment Exchange, Old Sadar Block Campus	Jehanabad	Jehanabad	Bihar	25.2132649	84.9853322
64	Jamui	Joint Labour Building, District Employment Exchange Near Madh Nishedh Thana	Jamui	Jamui	Bihar	24.9296875	86.2301875
65	Samastipur	District Employment Exchange, Near Saryug College Mohanpur Road	Samastipur	Samastipur	Bihar	25.8348799	85.7614785
66	Sheohar	Sri Nawab Model High School Campus	Sheohar	Sheohar	Bihar	26.5145872	85.2942313
67	Sitamarhi	Shanti Nagar Chowk, ITI Campus, Dumra Road	Sitamarhi	Sitamarhi	Bihar	26.5798861	85.5090934
68	Bhagalpur	Sub Regional Employment Exchange, Labour Court Campus, Adampur	Bhagalpur	Bhagalpur	Bihar	25.2519166	86.9839713
69	Madhubani	BSDC Rahika, Near Middle School, Rahika	Rahika	Madhubani	Bihar	26.3780754	86.0172378
70	Siwan	District Employment Exchange, Mahadeva Road, Near Church	Siwan	Siwan	Bihar	26.2392954	84.3588728
71	Begusarai	Joint Labour Building, Govt ITI Campus, Panhas Chowk	Begusarai	Begusarai	Bihar	25.4181163	86.1271353
72	Munger	Joint Labour Building, Govt ITI Campus, Sitakund Road	Munger	Munger	Bihar	25.3704899	86.5047235
73	Saharsa	BSDC Block Office	Saharsa	Saharsa	Bihar	25.8623149	86.5792155
74	Katihar	Joint Labour Building, LWC Club Campus, Dehariya	Katihar	Katihar	Bihar	25.5293539	87.5691787
75	Vaishali	BSDC Hajipur Sadar, Block campus	Hajipur	Vaishali	Bihar	25.6924354	85.208324
76	Chapra Sadar	Opp-E-Kishan Bhawan, Sadar Block Campus	Chapra	Saran	Bihar	25.78146	84.7715539
77	Nalanda	Joint Labour Building, Prakhand Prisar	Bihar Sharif	Nalanda	Bihar	25.1947733	85.5170305
78	East Champaran Motihari	Joint Labour Building, Govt. ITI Campus Near Lutha High School	Motihari	East Champaran	Bihar	26.6438482	84.9040337
79	Araria	Ground Floor, Joint Labour Building, near Mahila Thana	Araria	Araria	Bihar	26.1362124	87.4650399
80	Dalmianagar	Joint Labour Building, Moniya Bigha Chowk	Dalmianagar	Rohtas	Bihar	24.9242925	84.182475
81	Kishanganj	Ground Floor, Joint Labour Building, Juljuli Road, Khagra	Kishanganj	Kishanganj	Bihar	26.0788674	87.9490367
82	Purnia	Ground Floor, Joint Labour Building, near Govt ITI, BIADA, Maranga	Purnia	Purnia	Bihar	25.7432275	87.4634842
83	Bhojpur	Block campus Ara	Arrah	Bhojpur	Bihar	25.4993403	84.6259398
84	Buxar	Labour Combined Building, ITI Campus Charitravan	Buxar	Buxar	Bihar	25.5682284	83.9685173
85	Supaul	Joint Labour Building, Near Govt ITI, Behind DRCC	Supaul	Supaul	Bihar	26.1272227	86.6045382
86	Gopalganj	BSDC Sadar, Near DySP Office	Gopalganj	Gopalganj	Bihar	26.4513665	84.3962535
87	Arwal	Block campus Arwal	Arwal	Arwal	Bihar	25.243437	84.6624807
88	Madhepura	District Employment Exchange, Joint Labour Building, Near DRCC Campus	Madhepura	Madhepura	Bihar	25.9337699	86.797483
89	Aurangabad	District Employment Exchange, Joint Labour Building, Excise Office, Padrawan	Aurangabad	Aurangabad	Bihar	24.909569	84.7400412
90	Banka	Ground Floor, Joint Labour Building, Government ITI Campus Telia	Banka	Banka	Bihar	24.8874179	86.919838
91	Bhabua	Joint Labour Building Bare itadhi	Bhabua	Kaimur	Bihar	25.1037224	83.6534621
92	Khagaria	Joint Labour Building Near BSNL Office	Khagaria	Khagaria	Bihar	25.50452	86.4701416
